Customer_ID,Age,Gender,Tenure,Contract_Type,Payment_Method,Internet_Service,Tech_Support,Streaming_Service,Online_Security,Customer_Support_Calls,Satisfaction_Score,Monthly_Charges,Total_Charges,Churn_Probability,Risk_Score,Risk_Category,Churn
CUST-00001,48,Female,5,Month-to-Month,Electronic Check,Fiber Optic,No,Yes,No,5,2.5,73.66,456.05,0.8932,89.3,High,Yes
CUST-00002,40,Female,11,Month-to-Month,Electronic Check,DSL,Yes,No Internet,No,2,5.0,59.48,672.8,0.5845,58.4,Medium,No
CUST-00003,51,Female,7,Month-to-Month,Mailed Check,DSL,No,No Internet,No,4,4.8,28.93,237.59,0.5637,56.4,Medium,No
CUST-00004,63,Male,2,One Year,Bank Transfer,No,No,Yes,No Internet,2,3.3,29.3,80.46,0.266,26.6,Low,No
CUST-00005,38,Male,42,Month-to-Month,Electronic Check,DSL,Yes,No,No,5,2.6,35.21,1402.05,0.6257,62.6,Medium,Yes
CUST-00006,38,Female,46,Month-to-Month,Bank Transfer,Fiber Optic,Yes,Yes,No,1,2.2,120.0,5209.63,0.6336,63.4,Medium,Yes
CUST-00007,64,Female,5,One Year,Bank Transfer,Fiber Optic,No Internet,No,Yes,5,4.9,82.02,488.16,0.4355,43.5,Medium,No
CUST-00008,52,Female,1,Month-to-Month,Credit Card,Fiber Optic,No,Yes,No,2,3.3,116.12,222.56,0.7688,76.9,High,Yes
CUST-00009,35,Female,32,One Year,Electronic Check,DSL,No,Yes,Yes,2,2.4,62.07,2108.77,0.3996,40.0,Medium,No
CUST-00010,49,Male,5,Month-to-Month,Electronic Check,No,Yes,No,No,5,3.1,19.98,116.63,0.6399,64.0,Medium,Yes
CUST-00011,35,Male,11,Month-to-Month,Mailed Check,No,No,Yes,No,2,2.9,33.44,411.59,0.5068,50.7,Medium,No
CUST-00012,35,Male,1,Two Year,Mailed Check,Fiber Optic,No,Yes,No,5,5.0,74.54,139.55,0.3887,38.9,Low,No
CUST-00013,45,Male,6,One Year,Bank Transfer,Fiber Optic,Yes,No Internet,No,0,3.4,71.6,521.1,0.286,28.6,Low,No
CUST-00014,18,Male,37,Month-to-Month,Bank Transfer,Fiber Optic,No,No Internet,No,2,3.2,51.63,1952.59,0.7617,76.2,High,Yes
CUST-00015,18,Female,39,Month-to-Month,Bank Transfer,DSL,No,Yes,No Internet,4,1.7,53.98,2107.05,0.7117,71.2,High,Yes
CUST-00016,34,Male,5,Two Year,Credit Card,No,No,No,Yes,0,3.7,26.36,156.79,0.2135,21.4,Low,No
CUST-00017,27,Male,9,Month-to-Month,Credit Card,Fiber Optic,Yes,No,No Internet,1,3.2,83.85,870.0,0.6328,63.3,Medium,Yes
CUST-00018,46,Male,3,Month-to-Month,Mailed Check,Fiber Optic,Yes,No,No Internet,3,3.8,76.43,290.86,0.6796,68.0,Medium,Yes
CUST-00019,29,Female,1,One Year,Credit Card,DSL,No Internet,No Internet,No Internet,0,3.3,45.31,84.9,0.1016,10.2,Low,No
CUST-00020,22,Female,72,One Year,Electronic Check,DSL,No Internet,No,No Internet,4,2.8,62.02,4241.38,0.1772,17.7,Low,No
CUST-00021,62,Female,25,One Year,Bank Transfer,Fiber Optic,No,No,No,6,3.3,64.21,1746.1,0.4693,46.9,Medium,No
CUST-00022,38,Female,18,One Year,Mailed Check,No,No,Yes,Yes,2,2.4,32.33,583.94,0.1661,16.6,Low,No
CUST-00023,42,Male,34,One Year,Credit Card,Fiber Optic,No,No,No,4,3.4,62.48,2258.05,0.4666,46.7,Medium,No
CUST-00024,22,Female,43,Two Year,Mailed Check,No,Yes,No,No,3,4.6,19.5,789.89,0.1136,11.4,Low,No
CUST-00025,34,Male,39,One Year,Bank Transfer,Fiber Optic,No,Yes,No Internet,2,4.2,75.71,2921.17,0.3833,38.3,Low,No
CUST-00026,43,Male,0,Month-to-Month,Credit Card,Fiber Optic,No,Yes,No,2,2.9,77.68,77.13,0.7588,75.9,High,Yes
CUST-00027,25,Female,4,Month-to-Month,Bank Transfer,Fiber Optic,No,Yes,No Internet,3,3.0,79.99,417.76,0.8255,82.6,High,Yes
CUST-00028,47,Female,25,One Year,Bank Transfer,Fiber Optic,No,Yes,No,6,3.8,83.37,2171.08,0.5312,53.1,Medium,No
CUST-00029,33,Male,11,Two Year,Electronic Check,DSL,No Internet,Yes,No,2,3.6,48.67,525.81,0.2193,21.9,Low,No
